email,label
"Boa tarde, preciso configurar alertas personalizados no sistema.",produtivo
"Olá, o webhook não está disparando eventos. Podem verificar?",produtivo
"Bom dia, solicito upgrade do meu plano de acesso.",produtivo
"Prezados, identifiquei vazamento de memória no módulo de processamento.",produtivo
"Boa tarde, preciso de apoio para interpretar os logs de erro.",produtivo
"Olá equipe, solicito criação de ambiente de testes isolado.",produtivo
"Bom dia, há como recuperar arquivos deletados acidentalmente?",produtivo
"Prezados, o job agendado falhou durante a execução noturna.",produtivo
"Boa tarde, preciso validar as credenciais de acesso ao banco de dados.",produtivo
"Olá, solicito auditoria completa das alterações realizadas no sistema.",produtivo
"Bom dia, a VPN corporativa não está estabelecendo conexão.",produtivo
"Prezados, preciso de suporte para configurar o cliente de email.",produtivo
"Boa tarde, há limitação de tamanho para upload de arquivos?",produtivo
"Olá equipe, solicito desbloqueio do meu IP no firewall.",produtivo
"Bom dia, o sistema está rejeitando caracteres especiais no cadastro.",produtivo
"Prezados, preciso entender o fluxo de aprovação para esta funcionalidade.",produtivo
"Boa tarde, solicito habilitação do módulo de relatórios avançados.",produtivo
"Olá, há previsão para implementação da feature solicitada?",produtivo
"Bom dia, preciso de extrato detalhado das operações realizadas.",produtivo
"Prezados, o sistema de tickets está offline. Há previsão de retorno?",produtivo
"Boa tarde, solicito transferência de propriedade do projeto.",produtivo
"Olá equipe, preciso desativar temporariamente minha conta.",produtivo
"Bom dia, há como integrar o sistema com nossa ferramenta de BI?",produtivo
"Prezados, solicito revisão das políticas de segurança aplicadas.",produtivo
"Boa tarde, preciso confirmar se o patch de segurança foi aplicado.",produtivo
"Olá, o módulo de faturamento está calculando valores incorretos.",produtivo
"Bom dia, solicito remoção de usuário inativo da base.",produtivo
"Prezados, há como customizar o layout do dashboard?",produtivo
"Boa tarde, preciso de apoio na configuração de regras de negócio.",produtivo
"Olá equipe, solicito acesso aos metadados dos arquivos processados.",produtivo
"Bom dia, a pesquisa por filtros avançados não está funcionando.",produtivo
"Prezados, preciso entender o motivo do timeout nas requisições.",produtivo
"Boa tarde, solicito ativação de licenças adicionais para novos usuários.",produtivo
"Olá, há como configurar notificações via SMS?",produtivo
"Bom dia, preciso validar a integridade dos dados migrados.",produtivo
"Prezados, solicito parecer técnico sobre viabilidade da implementação.",produtivo
"Boa tarde, o sistema não está aplicando as regras de validação corretamente.",produtivo
"Olá equipe, preciso de orientação sobre boas práticas de uso.",produtivo
"Bom dia, solicito documentação atualizada dos endpoints disponíveis.",produtivo
"Prezados, há como agendar execução recorrente de processos?",produtivo
"Boa tarde, preciso resetar configurações para padrão de fábrica.",produtivo
"Olá, solicito análise de performance do sistema nas últimas semanas.",produtivo
"Bom dia, o cache não está sendo limpo automaticamente.",produtivo
"Prezados, preciso de suporte para migração de dados legados.",produtivo
"Boa tarde, solicito inclusão de novos campos no formulário padrão.",produtivo
"Olá equipe, há como exportar relatórios em formato PDF?",produtivo
"Bom dia, preciso confirmar se a política de backup está ativa.",produtivo
"Prezados, solicito reclassificação do chamado para prioridade alta.",produtivo
"Boa tarde, o sistema está gerando duplicidade de notificações.",produtivo
"Olá, preciso de acesso temporário para usuário externo.",produtivo
"Bom dia, solicito validação dos dados antes do processamento em lote.",produtivo
"Prezados, há como configurar autenticação via SSO?",produtivo
"Boa tarde, preciso entender o comportamento da regra de negócio aplicada.",produtivo
"Olá equipe, solicito histórico de alterações do registro 4521.",produtivo
"Bom dia, o sistema não está respeitando o timezone configurado.",produtivo
"Prezados, preciso de apoio na interpretação dos códigos de erro.",produtivo
"Boa tarde, solicito desativação de funcionalidade depreciada.",produtivo
"Olá, há como implementar autenticação biométrica?",produtivo
"Bom dia, preciso verificar se há pendências no meu cadastro.",produtivo
"Prezados, solicito atualização dos dados de contato da empresa.",produtivo
"Boa tarde, o sistema está bloqueando acesso sem apresentar erro específico.",produtivo
"Bom dia! Gostaria apenas de desejar uma excelente semana a todos.",improdutivo
"Olá equipe, feliz Natal e ótimas festas para vocês!",improdutivo
"Boa tarde, parabéns pelo ótimo trabalho que vêm realizando!",improdutivo
"Olá, só passando para agradecer pelo suporte prestado ontem. Muito obrigado!",improdutivo
"Bom dia, obrigado pelo retorno rápido. Era só isso mesmo.",improdutivo
"Prezados, desejo a todos um ótimo fim de ano!",improdutivo
"Boa tarde, agradeço pela atenção de sempre.",improdutivo
"Olá, estou somente confirmando o recebimento da mensagem anterior.",improdutivo
"Bom dia, ótimo trabalho da equipe!",improdutivo
"Olá, muito obrigado pela orientação enviada. Resolveu totalmente.",improdutivo
"Boa tarde, apenas reforçando meus agradecimentos pelo suporte.",improdutivo
"Prezados, tenham um excelente feriado!",improdutivo
"Olá, tudo certo por aqui. Obrigado!",improdutivo
"Bom dia, obrigado pela atualização. Nada mais necessário.",improdutivo
"Olá, desejo uma ótima tarde!",improdutivo
"Boa noite, parabéns pelo atendimento exemplar.",improdutivo
"Bom dia, agradeço pelo esclarecimento!",improdutivo
"Olá equipe, tenham um excelente dia!",improdutivo
"Boa tarde pessoal, obrigado por tudo.",improdutivo
"Olá, apenas confirmando que recebi o arquivo corretamente.",improdutivo
"Bom dia, agradeço pelo envio do documento!",improdutivo
"Olá, só queria agradecer pela ajuda prestada hoje cedo.",improdutivo
"Boa tarde, obrigado pelo suporte!",improdutivo
"Prezados, excelente trabalho realizado!",improdutivo
"Olá, passando apenas para desejar um ótimo final de semana.",improdutivo
"Bom dia, mensagem recebida. Obrigado!",improdutivo
"Boa tarde, parabéns pelo profissionalismo de sempre.",improdutivo
"Olá equipe, meus agradecimentos!",improdutivo
"Bom dia, ótimo atendimento ontem!",improdutivo
"Olá, desejo um excelente mês a todos.",improdutivo
"Boa tarde, agradeço pelo rápido retorno.",improdutivo
"Prezados, agradeço pela gentileza!",improdutivo
"Olá, obrigado pela informação!",improdutivo
"Bom dia, desejo um ótimo feriado para todos.",improdutivo
"Boa tarde, agradeço pela ajuda.",improdutivo
"Olá, mensagem recebida com sucesso. Obrigado!",improdutivo
"Bom dia, apenas confirmando leitura.",improdutivo
"Boa tarde equipe! Obrigado por todo apoio.",improdutivo
"Olá, agradeço a atenção prestada.",improdutivo
"Bom dia, ótimo atendimento sempre!",improdutivo
"Boa tarde e obrigado!",improdutivo
"Olá, desejo uma excelente noite!",improdutivo
"🔥 Promoção imperdível! 80% de desconto em nossos produtos até hoje!",improdutivo
"Olá! Confira nossa nova linha de eletrônicos com ofertas especiais!",improdutivo
"Parabéns! Você foi selecionado para ganhar um iPhone 15. Clique aqui!",improdutivo
"Últimas horas para garantir 70% OFF em todo o site!",improdutivo
"Aproveite! Seu nome foi sorteado para receber prêmios exclusivos!",improdutivo
"Descubra como ganhar dinheiro trabalhando de casa! Acessem já!",improdutivo
"Compre agora e receba frete grátis! Válido até meia-noite!",improdutivo
"Assine nosso plano premium e aproveite vantagens exclusivas!",improdutivo
"Olá! Temos uma oferta incrível para você. Clique no link abaixo!",improdutivo
"Ganhe 3 meses grátis de assinatura! Não perca essa chance!",improdutivo
"Seu CPF foi premiado! Retire seu valor clicando aqui.",improdutivo
"Promoção relâmpago! 60% OFF nos melhores cursos!",improdutivo
"Anúncio: nova linha de cosméticos chegou! Confira novidades!",improdutivo
"Marketing: atualização das nossas ofertas semanais!",improdutivo
"Ganhe recompensas respondendo esta pesquisa rápida!",improdutivo
"Oferta exclusiva do dia! Apenas para os primeiros clientes.",improdutivo
"Convite: webinar gratuito sobre investimentos! Inscreva-se!",improdutivo
"Atenção! Último dia para aproveitar nossos pacotes de viagem!",improdutivo
"Você está perdendo dinheiro! Veja como aumentar seu rendimento!",improdutivo
"Promoção especial: leve 2 e pague 1!",improdutivo
"Descontos incríveis no nosso outlet online!",improdutivo
"Ei, não abra mão dessa chance única de aumentar seus ganhos!",improdutivo
"Assine nossa newsletter e receba promoções toda semana!",improdutivo
"Anúncio: novo aplicativo disponível para download!",improdutivo
"Participar de sorteio grátis! Clique e cadastre-se!",improdutivo
"Black Friday antecipada! Descontos absurdos!",improdutivo
"Você tem pontos acumulados. Resgate antes que expirem!",improdutivo
"Último aviso: sua assinatura poderá expirar!",improdutivo
"Pré-venda exclusiva para cadastrados! Confira!",improdutivo
"Seja Premium e aproveite tudo sem limites!",improdutivo
"Anúncio: curso intensivo gratuito! Garanta sua vaga!",improdutivo
"Seu e-mail foi sorteado! Ganhe brindes agora mesmo!",improdutivo
"🚗 SUV 0km com taxa zero! Concessionária autorizada. Aproveite!",improdutivo
"Novo Onix 2025 com R$ 15.000 de desconto! Apenas esta semana!",improdutivo
"Troque seu seminovo e saia de carro novo hoje mesmo!",improdutivo
"Fiat Argo 0km - Parcelas a partir de R$ 899! Simule agora!",improdutivo
"🔥 Feirão de carros! Até 50% de entrada facilitada!",improdutivo
"Hyundai HB20 com seguro grátis no primeiro ano! Clique aqui!",improdutivo
"Jeep Compass 2025 - Condições especiais para servidores públicos!",improdutivo
"Aproveite! Toyota Corolla com bônus de R$ 10.000 na troca!",improdutivo
"Volkswagen T-Cross 0km sem entrada! Financiamento em 60x!",improdutivo
"Chevrolet Tracker com desconto de 20%! Últimas unidades!",improdutivo
"Renault Kwid por apenas R$ 699/mês! Corra e agende test drive!",improdutivo
"Honda Civic 0km com taxa de 0,99% ao mês! Imperdível!",improdutivo
"Nissan Kicks 2025 - Revisões grátis por 3 anos! Confira!",improdutivo
"Ford Ranger XLT com acessórios inclusos! Oferta limitada!",improdutivo
"Peugeot 208 0km - Emplacamento e IPVA 2025 grátis!",improdutivo
"Mitsubishi L200 Triton com desconto corporativo! Consulte!",improdutivo
"Citroen C3 com kit multimídia de brinde! Venha conhecer!",improdutivo
"Volkswagen Polo 0km - Entrada a partir de R$ 5.000!",improdutivo
"BYD Dolphin elétrico com carregador residencial incluso!",improdutivo
"Fiat Mobi 0km ideal para primeiro carro! Financie fácil!",improdutivo
"Caoa Chery Tiggo 7 com 7 anos de garantia! Aproveite!",improdutivo
"Jeep Renegade Sport com condições especiais de Black Friday!",improdutivo
"Chevrolet S10 High Country - Diesel com economia garantida!",improdutivo
"Hyundai Creta 2025 - Test drive e brinde exclusivo!",improdutivo
"Toyota Hilux 0km para produtor rural com taxa zero!",improdutivo
"Volkswagen Nivus com GNV de fábrica! Economia máxima!",improdutivo
"Honda HR-V Touring com teto solar! Últimas unidades em estoque!",improdutivo
"Renault Duster 4x4 com desconto de lançamento!",improdutivo
"Nissan Versa Exclusive 0km - Luxo e conforto com preço especial!",improdutivo
"Ford Territory com pacote tecnologia incluso! Agende visita!",improdutivo
"🏠 Apartamento 2 quartos, pronto para morar! Entre em contato!",improdutivo
"Casa em condomínio fechado com área de lazer completa! Confira!",improdutivo
"Lançamento imobiliário! Desconto de 15% nas primeiras unidades!",improdutivo
"Terreno comercial em localização privilegiada! Oportunidade única!",improdutivo
"Cobertura duplex com vista para o mar! Agende sua visita!",improdutivo
"Sala comercial no centro da cidade com entrada facilitada!",improdutivo
"Imóvel financiado pela Caixa com subsídio do governo! Consulte!",improdutivo
"Kitnet mobiliada ideal para investimento! Alto retorno garantido!",improdutivo
"📱 iPhone 15 Pro Max com 20% OFF! Parcelamento sem juros!",improdutivo
"Samsung Galaxy S24 Ultra - Preço exclusivo para você!",improdutivo
"Notebook gamer com RTX 4060! Oferta de lançamento!",improdutivo
"Smart TV 65 polegadas 4K por apenas R$ 2.499! Corre!",improdutivo
"AirPods Pro com cancelamento de ruído! Frete grátis hoje!",improdutivo
"Console PlayStation 5 + 2 jogos! Combo imperdível!",improdutivo
"Tablet Samsung com caneta S Pen inclusa! Preço especial!",improdutivo
"Smartwatch Apple Watch Series 9 com desconto de Black Friday!",improdutivo
"Camera Canon EOS R6 profissional! Parcele em até 12x sem juros!",improdutivo
"Fone JBL original com 40% de desconto! Aproveite já!",improdutivo
"💼 MBA Executivo com certificado reconhecido! Inscrições abertas!",improdutivo
"Curso de Python do zero ao avançado por R$ 49,90! Acesso vitalício!",improdutivo
"Treinamento em Power BI com certificação inclusa! Vagas limitadas!",improdutivo
"Aprenda inglês em 6 meses! Método revolucionário comprovado!",improdutivo
"Curso gratuito de Marketing Digital! Garanta sua vaga hoje!",improdutivo
"Formação completa em Data Science! Primeiro mês grátis!",improdutivo
"Workshop presencial de investimentos! Confirme sua participação!",improdutivo
"Certificação internacional em gestão de projetos! Desconto de 50%!",improdutivo
"🏋️ Plano anual de academia com 3 meses grátis! Matricule-se!",improdutivo
"Suplementos importados com até 60% OFF! Entrega rápida!",improdutivo
"Personal trainer online com avaliação gratuita! Comece hoje!",improdutivo
"Equipamentos de musculação para casa! Parcelamento facilitado!",improdutivo
"✈️ Pacote completo para Cancún! Aéreo + hotel por R$ 3.999!",improdutivo
"Cruzeiro pelo Caribe com tudo incluso! Reserve com desconto!",improdutivo
"Viagem para Disney com ingressos e transfer inclusos! Confira!",improdutivo
"Resort all inclusive em Porto de Galinhas! Promoção relâmpago!",improdutivo
"Passagens aéreas com até 70% de desconto! Pesquise agora!",improdutivo
"🍕 Delivery de pizza - 2ª pizza pela metade do preço! Peça já!",improdutivo
"Hambúrguer artesanal + batata + refri por R$ 29,90! Aproveite!",improdutivo
"Restaurante japonês - Rodízio completo com 20% OFF! Reserve mesa!",improdutivo
"Churrascaria premium - Almoço executivo com sobremesa grátis!",improdutivo
"💳 Cartão de crédito sem anuidade! Solicite o seu agora!",improdutivo
"Empréstimo pessoal aprovado! Valor liberado em 24 horas!",improdutivo
"Consórcio de imóveis com taxa zero de administração!",improdutivo
"Conta digital gratuita com cashback em todas as compras!",improdutivo
"Investimento em renda fixa com rentabilidade de 150% do CDI!",improdutivo
"🎮 Jogos digitais com desconto de até 80%! Promoção Steam!",improdutivo
"Assinatura Xbox Game Pass Ultimate! 3 meses por R$ 9,90!",improdutivo
"Pack de skins exclusivas! Disponível apenas por tempo limitado!",improdutivo
"👗 Moda feminina - Coleção nova com frete grátis acima de R$ 150!",improdutivo
"Outlet de roupas masculinas! Liquidação total do estoque!",improdutivo
"Calçados importados com até 50% OFF! Todos os tamanhos disponíveis!",improdutivo
"Bolsas de grife com preços imperdíveis! Confira o catálogo!",improdutivo
"Relógios originais com garantia internacional! Parcele em 10x!",improdutivo
"🐕 Ração premium para pets com 25% de desconto! Entrega grátis!",improdutivo
"Plano de saúde para seu pet com carência reduzida! Contrate!",improdutivo
"Banho e tosa com agendamento online! Primeira vez com desconto!",improdutivo
"🔧 Ferramentas profissionais Bosch com preço de fábrica!",improdutivo

